sku,qty,status
OPMBNTF0007,0,1
OPMBNTF0008,1,1
OPMBNTF0018,346,1
OPMBNTF0022,0,1
OPMBNTF0025,2,1
OPMBNTF0027,5,1
OPMBNTF0032,0,1
OPMBNTF0034,21,1
OPMBNTF0039,26,1
OPMBNTF0040,23,1
OPMBNTF0041,0,1
OPMBNTF0043,2,1
OPMBNTF0044,40,1
OPMBNTF0045,0,1
OPMBNTF0046,0,1
OPMBNTF0047,25,1
OPMBNTF0050,19,1
OPMBNTF0051,19,1
OPMBNTF0058,9,1
OPMBNTF0060,2,1
OPMBNTF0062,8,1
OPMBNTF0063,30,1
OPMBNTF0065,0,1
OPMBNTF0071,4,1
OPMBNTF0081,0,1
OPMBNTF0082,2,1
OPMBNTF0085,1,1
OPMBNTF0086,12,1
OPMBNTF0087,9,1
OPMBNTF0088,3,1
OPMBNTF0093,0,1
OPMBNTF0107,49,1
OPMBNTF0112,1,1
OPMBNTF0113,2,1
OPMBNTF0115,2,1
OPMBNTF0116,1,1
OPMBNTF0118,3,1
OPMBNTF0119,1,1
OPMBNTF0120,7,1
OPMBNTF0123,3,1
OPMBNTF0125,1,1
OPMBNTF0129,22,1
OPMBNTF0130,1,1
OPMBNTF0132,7,1
OPMBNTF0137,8,1
OPMBNTF0138,5,1
OPMBNTF0139,7,1
OPMBNTF0140,1,1
OPMBNTF0142,8,1
OPMBNTF0144,6,1
OPMBNTF0145,0,1
OPMBNTF0146,0,1
OPMBNTF0149,7,1
OPMBNTF0150,4,1
OPMBNTF0151,8,1
OPMBNTF0152,5,1
OPMBNTF0153,3,1
OPMBNTF0155,0,1
OPMBNTF0156,0,1
OPMBNTF0159,0,1
OPMBNTF0161,0,1
OPMBNTF0162,1,1
OPMBNTF0164,0,1
OPMBNTF0166,4,1
OPMBNTF0168,23,1
OPMBNTF0169,3,1
OPMBNTF0170,5,1
OPMBNTF0172,1,1
OPMBNTF0174,0,1
OPMBNTF0175,0,1
OPMBNTF0176,2,1
OPMBNTF0177,2,1
OPMBNTF0182,2,1
OPMBNTF0184,11,1
OPMBNTF0185,6,1
OPMBNTF0187,0,1
OPMBNTF0188,4,1
OPMBNTF0191,0,1
OPMBNTF0193,5,1
OPMBNTF0196,2,1
OPMBNTF0197,1,1
OPMBNTF0199,5,1
OPMBNTF0201,13,1
OPMBNTF0203,1,1
OPMBNTF0204,8,1
OPMBNTF0206,2,1
OPMBNTF0207,1,1
OPMBNTF0209,3,1
OPMBNTF0210,4,1
OPMBNTF0211,5,1
OPMBNTF0212,3,1
OPMBNTF0213,3,1
OPMBNTF0215,3,1
OPMBNTF0218,18,1
OPMBNTF0220,4,1
OPMBNTF0224,2,1
OPMBNTF0225,1,1
OPMBNTF0226,2,1
OPMBNTF0228,1,1
OPMBNTF0232,2,1
OPMBNTF0236,5,1
OPMBNTF0237,3,1
OPMBNTF0238,2,1
OPMBNTF0240,2,1
OPMBNTF0241,3,1
OPMBNTF0244,3,1
OPMBNTF0246,2,1
OPMBNTF0248,2,1
OPMBNTF0249,1,1
OPMBNTF0252,29,1
OPMBNTF0254,3,1
OPMBNTF0255,5,1
OPMBNTF0256,0,1
OPMBNTF0257,1,1
OPMBNTF0259,0,1
OPMBNTF0260,1,1
OPMBNTF0263,63,1
OPMBNTF0264,1,1
OPMBNTF0265,0,1
OPMBNTF0268,0,1
OPMBNTF0269,0,1
OPMBNTF0277,1,1
OPMBNTF0279,24,1
OPMBNTF0281,2,1
OPMBNTF0282,0,1
OPMBNTF0285,1,1
OPMBNTF0289,1,1
OPMBNTF0290,1,1
OPMBNTF0291,1,1
OPMBNTF0292,2,1
OPMBNTF0293,0,1
OPMBNTF0296,3,1
OPMBNTF0301,1,1
OPMBNTF0302,3,1
OPMBNTF0303,2,1
OPMBNTF0304,0,1
OPMBNTF0306,0,1
OPMBNTF0309,2,1
OPMBNTF0310,1,1
OPMBNTF0311,1,1
OPMBNTF0313,1,1
OPMBNTF0315,8,1
OPMBNTF0316,2,1
OPMBNTF0320,0,1
OPMBNTF0321,1,1
OPMBNTF0322,0,1
OPMBNTF0324,2,1
OPMBNTF0325,1,1
OPMBNTF0327,1,1
OPMBNTF0328,1,1
OPMBNTF0331,1,1
OPMBNTF0352,0,1
OPMBNTF0354,1,1
OPMBNTF0355,0,1
OPMBNTF0367,4,1
OPMBNTF0368,3,1
OPMBNTF0371,1,1
OPMBNTF0375,1,1
OPMBNTF0376,1,1
OPMBNTF0377,1,1
OPMBNTF0379,5,1
OPMBNTF0382,1,1
OPMBNTF0383,1,1
OPMBNTF0384,1,1
OPMBNTF0385,1,1
OPMBNTF0389,1,1
OPMBNTF0390,1,1
OPMBNTF0391,1,1
OPMBNTF0392,1,1
OPMBNTF0393,1,1
OPMBNTF0394,1,1
OPMBNTF0395,1,1
OPMBNTF0396,1,1
OPMBNTF0398,1,1
OPMBNTF0400,1,1
OPMBNTF0402,1,1
OPMBNTF0403,1,1
OPMBNTF0407,1,1
OPMBNTF0408,1,1
OPMBNTF0409,1,1
OPMBNTF0410,0,1
OPMBNTF0411,0,1
OPMBNTF0413,1,1
OPMBNTF0414,1,1
OPMBNTF0415,1,1
OPMBNTF0420,0,1
OPMBNTF0422,1,1
OPMBNTF0423,1,1
OPMBNTF0424,1,1
OPMBNTF0425,1,1
OPMBNTF0426,1,1
OPMBNTF0429,1,1
OPMBNTF0440,1,1
OPMBNTF0442,1,1
OPMBNTF0445,1,1
OPMBNTF0447,1,1
OPMBNTF0449,1,1
OPMBNTF0451,0,1
OPMBNTF0452,1,1
OPMBNTF0453,1,1
OPMBNTF0454,1,1
OPMBNTF0456,1,1
OPMBNTF0458,1,1
OPMBNTF0459,1,1
OPMBNTF0460,1,1
OPMBNTF0461,1,1
OPMBNTF0462,1,1
OPMBNTF0463,11,1
OPMBNTF0464,1,1
OPMBNTF0466,0,1
OPMBNTF0467,231,1
OPMBNTF0469,4,1
OPMBNTF0472,0,1
OPMBNTF0475,1,1
OPMBNTF0476,1,1
OPMBNTF0478,0,1
OPMBNTF0481,1,1
OPMBNTF0485,1,1
OPMBNTF0494,1,1
OPMBNTF0495,0,1
OPMBNTF0500,1,1
OPMBNTF0503,1,1
OPMBNTF0504,0,1
OPMBNTF0506,0,1
OPMBNTF0507,1,1
OPMBNTF0511,11,1
OPMBNTF0512,4,1
OPMBNTF0515,1,1
OPMBNTF0519,1,1
OPMBNTF0521,2,1
OPMBNTF0522,0,1
OPMBNTF0534,1,1
OPMBNTF0535,1,1
OPMBNTF0543,1,1
OPMBNTF0545,1,1
OPMBNTF0546,1,1
OPMBNTF0548,1,1
OPMBNTF0554,1,1
OPMBNTF0557,16,1
OPMBNTF0560,2,1
OPMBNTF0561,4,1
OPMBNTF0563,1,1
OPMBNTF0565,0,1
OPMBNTF0568,0,1
OPMBNTF0571,0,1
OPMBNTF0583,2,1
OPMBNTF0586,1,1
OPMBNTF0587,4,1
OPMBNTF0589,1,1
OPMBNTF0590,1,1
OPMBNTF0591,1,1
OPMBNTF0595,2,1
OPMBNTF0597,0,1
OPMBNTF0598,0,1
OPMBNTF0600,2,1
OPMBNTF0602,0,1
OPMBNTF0603,26,1
OPMBNTF0604,0,1
OPMBNTF0605,0,1
OPMBNTF0606,4,1
OPMBNTF0608,0,1
OPMBNTF0611,1,1
OPMBNTF0614,1,1
OPMBNTF0617,1,1
OPMBNTF0618,1,1
OPMBNTF0619,2,1
OPMBNTF0622,2,1
OPMBNTF0623,1,1
OPMBNTF0626,1,1
OPMBNTF0627,1,1
OPMBNTF0628,1,1
OPMBNTF0629,1,1
OPMBNTF0632,1,1
OPMBNTF0635,19,1
OPMBNTF0636,1,1
OPMBNTF0640,7,1
OPMBNTF0642,1,1
OPMBNTF0643,71,1
OPMBNTF0644,0,1
OPMBNTF0645,0,1
OPMBNTF0646,2,1
OPMBNTF0648,7,1
OPMBNTF0649,16,1
OPMBNTF0650,0,1
OPMBNTF0652,0,1
OPMBNTF0653,6,1
OPMBNTF0656,10,1
OPMBNTF0657,10,1
OPMBNTF0663,2,1
OPMBNTF0667,14,1
OPMBNTF0668,7,1
OPMBNTF0669,0,1
OPMBNTF0671,0,1
OPMBNTF0677,0,1
OPMBNTF0678,2,1
OPMBNTF0682,9,1
OPMBNTF0684,2,1
OPMBNTF0685,1,1
OPMBNTF0700,13,1
OPMBNTF0701,1,1
OPMBNTF0703,1,1
OPMBNTF0710,0,1
OPMBNTF0711,27,1
OPMBNTF0712,1,1
OPMBNTF0714,6,1
OPMBNTF0715,0,1
OPMBNTF0719,1,1
OPMBNTF0720,1,1
OPMBNTF0721,2,1
OPMBNTF0724,21,1
OPMBNTF0725,14,1
OPMBNTF0726,0,1
OPMBNTF0727,0,1
OPMBNTFB0001,4,1
OPMBNTFB0002,0,1
OPMBNTFB0003,8,1
OPMBNTFB0004,0,1
OPMBNTFB0005,0,1
OPMBNTFB0007,1,1
OPMBNTFB0008,1,1
OPMBNTFB0009,0,1
OPMBNTFB0010,1,1
OPMBNTFB0011,0,1
OPMBNTFB0014,1,1
OPMBNTFB0015,5,1
OPMBNTFB0017,911,1
OPMBNTFB0018,286,1
OPMBNTFB0019,332,1
OPMBNTFB0020,166,1
OPMBNTFB0021,368,1
OPMBNTFB0022,18,1
OPMBNTFB0023,698,1
OPMBNTFB0024,15,1
OPMBNTFB0025,96,1
OPMBNTFB0026,81,1
OPMBNTFB0027,3,1
OPMBNTFB0028,150,1
OPMBNTFB0029,95,1
OPMBNTFB0030,0,1
OPMBNTFB0031,0,1
OPMBNTFB0033,0,1
OPMBNTFB0035,68,1
OPMBNTFB0036,0,1
OPMBNTFB0037,82,1
OPMBNTFB0038,129,1
OPMBNTFB0039,16,1
OPMBNTFB0040,0,1
OPMBNTFB0042,1,1
OPMBNTFB0045,25,1
OPMBNTFB0046,6,1
OPMBNTFB0047,11,1
OPMBNTFB0053,1,1
OPMBNTFB0055,0,1
OPMBNTFB0057,0,1
OPMBNTFB0058,24,1
OPMBNTFB0059,1,1
OPMBNTFB0061,21,1
OPMBNTFB0062,0,1
OPMBNTFB0064,2,1
OPMBNTFB0065,0,1
OPMBNTFB0066,11,1
OPMBNTFB0069,5,1
OPMBNTFB0075,0,1
OPMBNTFB0077,1,1
OPMBNTFB0078,1,1
OPMBNTFB0080,0,1
OPMBNTFB0084,4,1
OPMBNTFB0087,4,1
OPMBNTFB0093,63,1
OPMBNTFB0096,1,1
OPMBNTFB0098,3,1
OPMBNTFB0099,5,1
OPMBNTFB0101,0,1
OPMBNTFB0104,2,1
OPMBNTFB0106,5,1
OPMBNTFB0107,7,1
OPMBNTFB0113,1,1
OPMBNTFB0115,0,1
OPMBNTFB0119,0,1
OPMBNTFB0120,2,1
OPMBNTFB0126,10,1
OPMBNTFB0132,6,1
OPMBNTFB0133,1,1
OPMBNTFB0140,0,1
OPMBNTFB0142,1,1
OPMBNTFB0151,4,1
OPMBNTFB0154,8,1
OPMBNTFB0165,0,1
OPMBNTFB0167,0,1
OPMBNTFB0182,0,1
OPMBNTFB0189,5,1
OPMBNTFB0192,4,1
OPMBNTFB0194,1,1
OPMBNTFB0204,1,1
OPMBNTFB0216,3,1
OPMBNTFB0218,3,1
OPMBNTFB0219,2,1
OPMBNTFB0229,0,1
OPMBNTFB0238,0,1
OPMBNTFB0239,2,1
OPMBNTFB0245,0,1
OPMBNTFB0250,6,1
OPMBNTFB0252,13,1
OPMBNTFB0253,3,1
OPMBNTFB0256,3,1
OPMBNTFB0268,0,1
OPMBNTFB0269,1,1
OPMBNTFB0283,0,1
OPMBNTFB0295,1,1
OPMBNTFB0297,1,1
OPMBNTFB0305,4,1
OPMBNTFB0306,3,1
OPMBNTFB0307,0,1
OPMBNTFB0308,2,1
OPMBNTFB0326,1,1
OPMBNTFB0327,1,1
OPMBNTFB0353,1,1
OPMBNTFB0428,0,1
OPMBNTFB0430,0,1
OPMBNTFB0432,1,1
OPMBNTFB0434,2,1
OPMBNTFB0435,0,1
OPMBNTFB0436,0,1
OPMBNTFB0438,1,1
OPMBNTFB0463,15,1
OPMBNTFB0465,23,1
OPMBNTFB0466,1,1
OPMBNTFB0467,18,1
OPMBNTFB0468,4,1
OPMBNTFB0469,0,1
OPMBNTFB0470,1,1
OPMBNTFB0471,4,1
OPMBNTFB0472,2,1
OPMBNTFB0474,1,1
OPMBNTFB0488,0,1
OPMBNTFB0495,0,1
OPMBNTFB0521,0,1
OPMBNTFB0540,1,1
OPMBNTFB0551,23,1
OPMBNTFB0553,44,1
OPMBNTFB0554,2,1
OPMBNTFB0555,5,1
OPMBNTFB0556,0,1
OPMBNTFB0557,6,1
OPMBNTFB0564,0,1
OPMBNTFB0565,0,1
OPMBNTFB0567,4,1
OPMBNTFB0568,0,1
OPMBNTFB0572,1,1
OPMBNTFB0587,9,1
OPMBNTFB0596,1,1
OPMBNTFB0598,9,1
OPMBNTFB0599,97,1
OPMBNTFB0602,3,1
OPMBNTFB0603,25,1
OPMBNTFB0604,3,1
OPMBNTFB0605,4,1
OPMBNTFB0606,1,1
OPMBNTFB0608,0,1
OPMBNTFB0609,19,1
OPMBNTFB0610,0,1
OPMBNTFB0619,1,1
OPMBNTFB0622,0,1
OPMBNTFB0625,1,1
OPMBNTFB0626,1,1
OPMBNTFB0630,0,1
OPMBNTFB0632,1,1
OPMBNTFB0641,11,1
OPMBNTFB0643,5,1
OPMBNTFB0646,15,1
OPMBNTFB0647,65,1
OPMBNTFB0648,62,1
OPMBNTFB0649,1,1
OPMBNTFB0652,0,1
OPMBNTFB0661,2,1
OPMBNTFB0662,0,1
OPMBNTFB0671,2,1
OPMBNTFB0675,2,1
OPMBNTFB0678,0,1
OPMBNTFB0692,0,1
OPMBNTFB0693,1,1
OPMBNTFB0695,0,1
OPMBNTFB0698,0,1
OPMBNTFB0714,7,1
OPMBNTF0143,1,1
OPMBNTF0258,1,1
OPMBNTF0676,1,1
