store,websites,attribute_set,type,category_ids,sku,status,visibility,tax_class_id,brands,remove_compare_link,cash_on_delivery,free_home_delivery,is_superdeal,product_category_type,name,url_key,warrenty,model_no,weight,description,short_description,imp_desc,price,qty,is_in_stock,product_name,laptop_warranty_summary
admin,base,Laptops,simple,"3,99",REFDE00255,2,"Catalog, Search",GST0.18,Dell,Yes,Yes,Yes,No,RFBNBK,DELL REFURBISHED INSPIRON 15 5568/ 6TH GEN CI7-6500U/ 8GB/ 1TB/ INT/ WIN 10/ 15.6-INCH FHD TOUCH,dell-refurbished-inspiron-15-5568-6th-gen-ci7-6500u-8gb-1tb-int-win-10-15.6-inch-fhd-touch,1 Year  Warranty., INSPIRON 15 5568,1,<ul></ul>,<ul></ul>,<ul></ul>,38305.08,1,1,DELL REFURBISHED INSPIRON 15 5568/ 6TH GEN CI7-6500U/ 8GB/ 1TB/ INT/ WIN 10/ 15.6-INCH FHD TOUCH,1 Year  Warranty.
admin,base,Laptops,simple,"3,99",REFDE00257,2,"Catalog, Search",GST0.18,Dell,Yes,Yes,Yes,No,RFBNBK,DELL REFURBISHED INSPIRON 14 7460/ 7TH GEN CI5-7200U/ 8GB/ 128GB SSD+1TB/ 2GB/ WIN 10/ 14.0-INCH FHD,dell-refurbished-inspiron-14-7460-7th-gen-ci5-7200u-8gb-128gb-ssd-1tb-2gb-win-10-14.0-inch-fhd,1 Year  Warranty., INSPIRON 14 7460,1,<ul></ul>,<ul></ul>,<ul></ul>,43813.56,1,1,DELL REFURBISHED INSPIRON 14 7460/ 7TH GEN CI5-7200U/ 8GB/ 128GB SSD+1TB/ 2GB/ WIN 10/ 14.0-INCH FHD,1 Year  Warranty.
admin,base,Laptops,simple,"3,99",REFDE00287,2,"Catalog, Search",GST0.18,Dell,Yes,Yes,Yes,No,RFBNBK,DELL REFURBISHED VOSTRO 15 3568/ 7TH GEN CI5-7200U/ 8GB/ 1TB/ 2GB/ NO OS/ 15.6-INCH,dell-refurbished-vostro-15-3568-7th-gen-ci5-7200u-8gb-1tb-2gb-no-os-15.6-inch,1 Year  Warranty., VOSTRO 15 3568,1,<ul></ul>,<ul></ul>,<ul></ul>,28983.05,1,1,DELL REFURBISHED VOSTRO 15 3568/ 7TH GEN CI5-7200U/ 8GB/ 1TB/ 2GB/ NO OS/ 15.6-INCH,1 Year  Warranty.
admin,base,Laptops,simple,"3,99",REFDE00324,2,"Catalog, Search",GST0.18,Dell,Yes,Yes,Yes,No,RFBNBK,DELL REFURBISHED INSPIRON 13 7373/ 8TH GEN CI7-8550U/ 16GB/ 512GB SSD/ INT/ WIN 10/ 13.3-INCH FHD TOUCH,dell-refurbished-inspiron-13-7373-8th-gen-ci7-8550u-16gb-512gb-ssd-int-win-10-13.3-inch-fhd-touch,1 Year  Warranty., INSPIRON 13 7373,1,<ul></ul>,<ul></ul>,<ul></ul>,58559.32,1,1,DELL REFURBISHED INSPIRON 13 7373/ 8TH GEN CI7-8550U/ 16GB/ 512GB SSD/ INT/ WIN 10/ 13.3-INCH FHD TOUCH,1 Year  Warranty.
admin,base,Laptops,simple,"3,99",REFDE00325,2,"Catalog, Search",GST0.18,Dell,Yes,Yes,Yes,No,RFBNBK,DELL REFURBISHED INSPIRON 14 5458/ 5TH GEN CI5-5200U/ 8GB/ 1TB/ 2GB/ WIN 10/ 14.0-INCH,dell-refurbished-inspiron-14-5458-5th-gen-ci5-5200u-8gb-1tb-2gb-win-10-14.0-inch,1 Year  Warranty., INSPIRON 14 5458,1,<ul></ul>,<ul></ul>,<ul></ul>,27966.10,1,1,DELL REFURBISHED INSPIRON 14 5458/ 5TH GEN CI5-5200U/ 8GB/ 1TB/ 2GB/ WIN 10/ 14.0-INCH,1 Year  Warranty.
admin,base,Laptops,simple,"3,99",REFDE00326,2,"Catalog, Search",GST0.18,Dell,Yes,Yes,Yes,No,RFBNBK,DELL REFURBISHED INSPIRON 14 5459/ 6TH GEN CI5-6200U/ 8GB/ 1TB/ 2GB/ WIN 10/ 14.0-INCH,dell-refurbished-inspiron-14-5459-6th-gen-ci5-6200u-8gb-1tb-2gb-win-10-14.0-inch,1 Year  Warranty., INSPIRON 14 5459,1,<ul></ul>,<ul></ul>,<ul></ul>,29661.02,1,1,DELL REFURBISHED INSPIRON 14 5459/ 6TH GEN CI5-6200U/ 8GB/ 1TB/ 2GB/ WIN 10/ 14.0-INCH,1 Year  Warranty.
admin,base,Laptops,simple,"3,99",REFDE00327,2,"Catalog, Search",GST0.18,Dell,Yes,Yes,Yes,No,RFBNBK,DELL REFURBISHED INSPIRON 15 3542/ CELERON 2957U/ 4GB/ 500GB/ INT/ WIN 10/ 15.6-INCH,dell-refurbished-inspiron-15-3542-celeron-2957u-4gb-500gb-int-win-10-15.6-inch,1 Year  Warranty., INSPIRON 15 3542,1,<ul></ul>,<ul></ul>,<ul></ul>,17372.88,1,1,DELL REFURBISHED INSPIRON 15 3542/ CELERON 2957U/ 4GB/ 500GB/ INT/ WIN 10/ 15.6-INCH,1 Year  Warranty.
admin,base,Laptops,simple,"3,99",REFDE00328,2,"Catalog, Search",GST0.18,Dell,Yes,Yes,Yes,No,RFBNBK,DELL REFURBISHED INSPIRON 15 3565/ AMD E2-9000/ 4GB/ 1TB/ INT/ NO OS/ 15.6-INCH,dell-refurbished-inspiron-15-3565-amd-e2-9000-4gb-1tb-int-no-os-15.6-inch,1 Year  Warranty., INSPIRON 15 3565,1,<ul></ul>,<ul></ul>,<ul></ul>,15677.97,1,1,DELL REFURBISHED INSPIRON 15 3565/ AMD E2-9000/ 4GB/ 1TB/ INT/ NO OS/ 15.6-INCH,1 Year  Warranty.
admin,base,Laptops,simple,"3,99",REFDE00329,2,"Catalog, Search",GST0.18,Dell,Yes,Yes,Yes,No,RFBNBK,DELL REFURBISHED INSPIRON 15 5558/ 4TH GEN CI3-4005U/ 2GB/ 500GB/ INT/ WIN 10/ 15.6-INCH,dell-refurbished-inspiron-15-5558-4th-gen-ci3-4005u-2gb-500gb-int-win-10-15.6-inch,1 Year  Warranty., INSPIRON 15 5558,1,<ul></ul>,<ul></ul>,<ul></ul>,14830.51,1,1,DELL REFURBISHED INSPIRON 15 5558/ 4TH GEN CI3-4005U/ 2GB/ 500GB/ INT/ WIN 10/ 15.6-INCH,1 Year  Warranty.
admin,base,Laptops,simple,"3,99",REFDE00330,2,"Catalog, Search",GST0.18,Dell,Yes,Yes,Yes,No,RFBNBK,DELL REFURBISHED INSPIRON 15 5570/ 8TH GEN CI5-8250U/ 8GB/ 2TB/ 4GB/ WIN 10/ 15.6-INCH FHD,dell-refurbished-inspiron-15-5570-8th-gen-ci5-8250u-8gb-2tb-4gb-win-10-15.6-inch-fhd,1 Year  Warranty., INSPIRON 15 5570,1,<ul></ul>,<ul></ul>,<ul></ul>,49067.80,1,1,DELL REFURBISHED INSPIRON 15 5570/ 8TH GEN CI5-8250U/ 8GB/ 2TB/ 4GB/ WIN 10/ 15.6-INCH FHD,1 Year  Warranty.
admin,base,Laptops,simple,"3,99",REFDE00331,2,"Catalog, Search",GST0.18,Dell,Yes,Yes,Yes,No,RFBNBK,DELL REFURBISHED INSPIRON DT 3064/ 7TH GEN CI3-7100U/ 4GB/ 1TB/ INT/ WIN 10/ 19.5-INCH,dell-refurbished-inspiron-dt-3064-7th-gen-ci3-7100u-4gb-1tb-int-win-10-19.5-inch,1 Year  Warranty., INSPIRON DT 3064,1,<ul></ul>,<ul></ul>,<ul></ul>,21186.44,6,1,DELL REFURBISHED INSPIRON DT 3064/ 7TH GEN CI3-7100U/ 4GB/ 1TB/ INT/ WIN 10/ 19.5-INCH,1 Year  Warranty.
admin,base,Laptops,simple,"3,99",REFDE00332,2,"Catalog, Search",GST0.18,Dell,Yes,Yes,Yes,No,RFBNBK,DELL REFURBISHED VOSTRO 14 3458/ 5TH GEN CI3-5005U/ 4GB/ 1TB/ INT/ NO OS/ 14.0-INCH,dell-refurbished-vostro-14-3458-5th-gen-ci3-5005u-4gb-1tb-int-no-os-14.0-inch,1 Year  Warranty., VOSTRO 14 3458,1,<ul></ul>,<ul></ul>,<ul></ul>,19322.03,2,1,DELL REFURBISHED VOSTRO 14 3458/ 5TH GEN CI3-5005U/ 4GB/ 1TB/ INT/ NO OS/ 14.0-INCH,1 Year  Warranty.
admin,base,Laptops,simple,"3,99",REFDE00333,2,"Catalog, Search",GST0.18,Dell,Yes,Yes,Yes,No,RFBNBK,DELL REFURBISHED VOSTRO 14 3468/ 7TH GEN CI3-7100U/ 4GB/ 1TB/ INT/ WIN 10/ 14.0-INCH,dell-refurbished-vostro-14-3468-7th-gen-ci3-7100u-4gb-1tb-int-win-10-14.0-inch,1 Year  Warranty., VOSTRO 14 3468,1,<ul></ul>,<ul></ul>,<ul></ul>,21949.15,1,1,DELL REFURBISHED VOSTRO 14 3468/ 7TH GEN CI3-7100U/ 4GB/ 1TB/ INT/ WIN 10/ 14.0-INCH,1 Year  Warranty.
admin,base,Laptops,simple,"3,99",REFDE00334,2,"Catalog, Search",GST0.18,Dell,Yes,Yes,Yes,No,RFBNBK,DELL REFURBISHED VOSTRO 15 3559/ 6TH GEN CI5-6200U/ 4GB/ 1TB/ 2GB/ NO OS/ 15.6-INCH,dell-refurbished-vostro-15-3559-6th-gen-ci5-6200u-4gb-1tb-2gb-no-os-15.6-inch,1 Year  Warranty., VOSTRO 15 3559,1,<ul></ul>,<ul></ul>,<ul></ul>,25847.46,1,1,DELL REFURBISHED VOSTRO 15 3559/ 6TH GEN CI5-6200U/ 4GB/ 1TB/ 2GB/ NO OS/ 15.6-INCH,1 Year  Warranty.
admin,base,Laptops,simple,"3,99",REFDE00335,2,"Catalog, Search",GST0.18,Dell,Yes,Yes,Yes,No,RFBNBK,DELL REFURBISHED XPS 13 9365/ 7TH GEN CI7-7Y75/ 16GB/ 512GB SSD/ INT/ WIN 10/ 13.3-INCH QHD TOUCH,dell-refurbished-xps-13-9365-7th-gen-ci7-7y75-16gb-512gb-ssd-int-win-10-13.3-inch-qhd-touch,1 Year  Warranty., XPS 13 9365,1,<ul></ul>,<ul></ul>,<ul></ul>,93983.05,1,1,DELL REFURBISHED XPS 13 9365/ 7TH GEN CI7-7Y75/ 16GB/ 512GB SSD/ INT/ WIN 10/ 13.3-INCH QHD TOUCH,1 Year  Warranty.
admin,base,Laptops,simple,"3,99",REFDE00336,2,"Catalog, Search",GST0.18,Dell,Yes,Yes,Yes,No,RFBNBK,DELL REFURBISHED XPS 13 9560/ 7TH GEN CI7-7700HQ/ 16GB/ 512GB SSD/ 4GB/ WIN 10/ 15.6-INCH FHD,dell-refurbished-xps-13-9560-7th-gen-ci7-7700hq-16gb-512gb-ssd-4gb-win-10-15.6-inch-fhd,1 Year  Warranty., XPS 13 9560,1,<ul></ul>,<ul></ul>,<ul></ul>,95338.98,2,1,DELL REFURBISHED XPS 13 9560/ 7TH GEN CI7-7700HQ/ 16GB/ 512GB SSD/ 4GB/ WIN 10/ 15.6-INCH FHD,1 Year  Warranty.
