sku,qty,price,is_in_stock,status
OPMBNTFB0001,1,14508.93,1,1
OPMBNTFB0002,11,6499.42909,1,1
OPMBNTFB0003,6,9557.85714,1,1
OPMBNTFB0004,48,7512.83104,1,1
OPMBNTFB0005,9,6447.42889,1,1
OPMBNTFB0007,1,26672,1,1
OPMBNTFB0008,1,22041.355,1,1
OPMBNTFB0009,7,6355.30714,1,1
OPMBNTFB0010,1,44383,1,1
OPMBNTFB0011,1,5458,1,1
OPMBNTFB0013,5,4775.884,1,1
OPMBNTFB0014,2,31674,1,1
OPMBNTFB0015,7,34456.74444,1,1
OPMBNTFB0016,7,9708.88714,1,1
OPMBNTFB0017,764,8783.65517,1,1
OPMBNTFB0018,151,10038.87597,1,1
OPMBNTFB0019,310,5686.75307,1,1
OPMBNTFB0020,171,5184.82596,1,1
OPMBNTFB0021,273,7186,1,1
OPMBNTFB0022,14,7561.19438,1,1
OPMBNTFB0023,591,8347.25584,1,1
OPMBNTFB0024,4,5580.36,1,1
OPMBNTFB0025,3,7926.60911,1,1
OPMBNTFB0026,63,7172.43478,1,1
OPMBNTFB0027,6,9017.86,1,1
OPMBNTFB0028,193,6956.67238,1,1
OPMBNTFB0029,89,5886.06764,1,1
OPMBNTFB0030,13,4732.14,1,1
OPMBNTFB0031,23,625,1,1
OPMBNTFB0032,5,5859.24286,1,1
OPMBNTFB0033,5,7678.57,1,1
OPMBNTFB0034,4,7804,1,1
OPMBNTFB0035,18,9785.8,1,1
OPMBNTFB0036,16,11416.06618,1,1
OPMBNTFB0037,68,5430.45059,1,1
OPMBNTFB0038,107,5188.49065,1,1
OPMBNTFB0039,20,8839.29,1,1
OPMBNTFB0042,5,5277,1,1
OPMBNTFB0045,26,8037.67815,1,1
OPMBNTFB0046,21,7961.07,1,1
OPMBNTFB0047,11,9331.14636,1,1
OPMBNTFB0048,3,11373,1,1
OPMBNTFB0050,10,7999,1,1
OPMBNTFB0051,2,8427.94,1,1
OPMBNTFB0052,11,3125,1,1
OPMBNTFB0053,2,17915,1,1
OPMBNTFB0055,1,6026.79,1,1
OPMBNTFB0057,6,15023,1,1
OPMBNTFB0058,25,14734.62714,1,1
OPMBNTFB0059,10,7395.36364,1,1
OPMBNTFB0061,3,7390.19455,1,1
OPMBNTFB0062,1,6250,1,1
OPMBNTFB0063,6,7460,1,1
OPMBNTFB0064,5,5782.40667,1,1
OPMBNTFB0065,1,8839.29,1,1
OPMBNTFB0066,25,8574.08258,1,1
OPMBNTFB0067,3,9898,1,1
OPMBNTFB0068,3,21763.105,1,1
OPMBNTFB0069,5,9722.714,1,1
OPMBNTFB0073,3,3615.5,1,1
OPMBNTFB0074,4,7065,1,1
OPMBNTFB0075,8,3506,1,1
OPMBNTFB0077,1,20242.965,1,1
OPMBNTFB0078,3,3660.71,1,1
OPMBNTFB0080,2,6479,1,1
OPMBNTFB0081,18,10758.9744,1,1
OPMBNTFB0083,6,3571.43,1,1
OPMBNTFB0084,6,10094.5,1,1
OPMBNTFB0086,6,4464.29,1,1
OPMBNTFB0087,4,7907,1,1
OPMBNTFB0088,1,4464.29,1,1
OPMBNTFB0089,8,3125,1,1
OPMBNTFB0093,64,5052.09892,1,1
OPMBNTFB0094,1,2053.57,1,1
OPMBNTFB0096,1,6825,1,1
OPMBNTFB0097,2,4285.71,1,1
OPMBNTFB0098,2,5998.99,1,1
OPMBNTFB0099,4,7053.57,1,1
OPMBNTFB0103,2,3781,1,1
OPMBNTFB0104,2,3571.43,1,1
OPMBNTFB0106,1,5009.79,1,1
OPMBNTFB0107,6,20089.29,1,1
OPMBNTFB0113,2,3000,1,1
OPMBNTFB0115,7,15848.21,1,1
OPMBNTFB0118,3,2078,1,1
OPMBNTFB0119,1,4642.86,1,1
OPMBNTFB0120,1,2369,1,1
OPMBNTFB0121,1,5580.36,1,1
OPMBNTFB0123,5,2708,1,1
OPMBNTFB0124,1,5494.32,1,1
OPMBNTFB0125,6,4017.86,1,1
OPMBNTFB0126,8,7999,1,1
OPMBNTFB0127,1,803,1,1
OPMBNTFB0128,1,10236,1,1
OPMBNTFB0130,1,8919.64,1,1
OPMBNTFB0132,6,7109,1,1
OPMBNTFB0133,2,10521,1,1
OPMBNTFB0140,2,8476,1,1
OPMBNTFB0142,3,5999,1,1
OPMBNTFB0146,2,4776.57,1,1
OPMBNTFB0151,3,6830.185,1,1
OPMBNTFB0154,8,6682,1,1
OPMBNTFB0155,1,2300,1,1
OPMBNTFB0164,4,3808,1,1
OPMBNTFB0165,2,5655.355,1,1
OPMBNTFB0167,1,5982.14,1,1
OPMBNTFB0168,1,4566,1,1
OPMBNTFB0181,1,44010.785,1,1
OPMBNTFB0182,1,5857,1,1
OPMBNTFB0183,7,6127.66571,1,1
OPMBNTFB0185,1,9577,1,1
OPMBNTFB0186,4,2708,1,1
OPMBNTFB0187,1,5038,1,1
OPMBNTFB0188,1,2309,1,1
OPMBNTFB0189,5,8264.712,1,1
OPMBNTFB0192,5,8400,1,1
OPMBNTFB0194,1,3500,1,1
OPMBNTFB0196,2,5357.14,1,1
OPMBNTFB0202,1,10569.715,1,1
OPMBNTFB0204,2,15870,1,1
OPMBNTFB0206,2,3791,1,1
OPMBNTFB0214,3,3960.28667,1,1
OPMBNTFB0216,3,14218.01,1,1
OPMBNTFB0218,4,8400,1,1
OPMBNTFB0219,2,14237,1,1
OPMBNTFB0222,1,11160.71,1,1
OPMBNTFB0229,2,4017.86,1,1
OPMBNTFB0238,2,3317,1,1
OPMBNTFB0239,3,5047,1,1
OPMBNTFB0240,1,7874,1,1
OPMBNTFB0241,1,3199,1,1
OPMBNTFB0244,3,2558,1,1
OPMBNTFB0245,4,775,1,1
OPMBNTFB0246,1,1758,1,1
OPMBNTFB0247,3,3571.43,1,1
OPMBNTFB0248,1,5178.57,1,1
OPMBNTFB0249,1,6682,1,1
OPMBNTFB0250,6,8786.43,1,1
OPMBNTFB0252,73,13392.86,1,1
OPMBNTFB0253,3,9300,1,1
OPMBNTFB0256,4,5561.88,1,1
OPMBNTFB0257,2,8034.82,1,1
OPMBNTFB0262,1,36260,1,1
OPMBNTFB0265,1,1026.79,1,1
OPMBNTFB0266,1,1339.29,1,1
OPMBNTFB0268,8,5753.6,1,1
OPMBNTFB0269,1,5357,1,1
OPMBNTFB0270,1,38483,1,1
OPMBNTFB0282,1,4479,1,1
OPMBNTFB0283,2,5783,1,1
OPMBNTFB0287,2,1421,1,1
OPMBNTFB0290,1,3582,1,1
OPMBNTFB0294,2,1964.29,1,1
OPMBNTFB0295,2,3571.43,1,1
OPMBNTFB0297,2,5178.57,1,1
OPMBNTFB0298,1,2321.43,1,1
OPMBNTFB0301,1,5599,1,1
OPMBNTFB0302,1,4776.57,1,1
OPMBNTFB0304,1,773,1,1
OPMBNTFB0305,4,2722.6475,1,1
OPMBNTFB0306,3,8214.29,1,1
OPMBNTFB0307,1,2160,1,1
OPMBNTFB0308,1,10163.41,1,1
OPMBNTFB0310,1,11160.71,1,1
OPMBNTFB0311,1,11160.71,1,1
OPMBNTFB0319,1,1785.71,1,1
OPMBNTFB0322,1,2678.57,1,1
OPMBNTFB0323,1,5650,1,1
OPMBNTFB0327,1,4199,1,1
OPMBNTFB0328,1,7747,1,1
OPMBNTFB0352,1,6999,1,1
OPMBNTFB0353,1,5634,1,1
OPMBNTFB0363,1,3600,1,1
OPMBNTFB0365,1,4739,1,1
OPMBNTFB0367,1,7250,1,1
OPMBNTFB0401,1,500,1,1
OPMBNTFB0405,1,2078,1,1
OPMBNTFB0411,1,2713,1,1
OPMBNTFB0417,1,500,1,1
OPMBNTFB0419,1,3696,1,1
OPMBNTFB0428,1,650,1,1
OPMBNTFB0430,1,4464.29,1,1
OPMBNTFB0432,1,7590,1,1
OPMBNTFB0433,2,7812.5,1,1
OPMBNTFB0434,2,5178.57,1,1
OPMBNTFB0435,1,5982.14,1,1
OPMBNTFB0436,12,9256.476,1,1
OPMBNTFB0438,1,2321.43,1,1
OPMBNTFB0446,1,3149,1,1
OPMBNTFB0462,1,3500,1,1
OPMBNTFB0463,16,4464.29,1,1
OPMBNTFB0465,19,5009.8005,1,1
OPMBNTFB0466,1,14218,1,1
OPMBNTFB0467,18,7142.86,1,1
OPMBNTFB0468,4,9600,1,1
OPMBNTFB0469,1,9600,1,1
OPMBNTFB0470,1,22000,1,1
OPMBNTFB0471,1,16666,1,1
OPMBNTFB0472,2,7053.57,1,1
OPMBNTFB0473,1,2500,1,1
OPMBNTFB0474,1,4700,1,1
OPMBNTFB0482,3,3072.03,1,1
OPMBNTFB0488,1,5803.57,1,1
OPMBNTFB0489,1,8927.68,1,1
OPMBNTFB0493,1,14285.71,1,1
OPMBNTFB0495,6,12946.43,1,1
OPMBNTFB0496,2,6250,1,1
OPMBNTFB0497,1,6250,1,1
OPMBNTFB0498,1,4017.86,1,1
OPMBNTFB0499,1,4464.29,1,1
OPMBNTFB0500,1,4464.29,1,1
OPMBNTFB0504,1,8026.79,1,1
OPMBNTFB0511,1,4017.86,1,1
OPMBNTFB0512,1,5133.93,1,1
OPMBNTFB0516,1,8035.71,1,1
OPMBNTFB0521,1,1964.29,1,1
OPMBNTFB0536,1,7109,1,1
OPMBNTFB0540,1,5271,1,1
OPMBNTFB0551,2,6957.04556,1,1
OPMBNTFB0553,18,7589.7239,1,1
OPMBNTFB0554,16,13277.59875,1,1
OPMBNTFB0555,7,4226.01667,1,1
OPMBNTFB0556,2,4500,1,1
OPMBNTFB0557,4,6250,1,1
OPMBNTFB0562,1,11679,1,1
OPMBNTFB0565,1,5491.07,1,1
OPMBNTFB0566,3,5254.11,1,1
OPMBNTFB0567,4,3161.43,1,1
OPMBNTFB0572,1,6000,1,1
OPMBNTFB0578,1,20535.71,1,1
OPMBNTFB0583,1,3853.36,1,1
OPMBNTFB0587,9,8913.07143,1,1
OPMBNTFB0594,2,16071.43,1,1
OPMBNTFB0596,1,3228,1,1
OPMBNTFB0598,9,7053.57,1,1
OPMBNTFB0599,83,4553.3592,1,1
OPMBNTFB0602,1,9396.9775,1,1
OPMBNTFB0603,8,9656.7084,1,1
OPMBNTFB0604,2,6250,1,1
OPMBNTFB0605,4,5000,1,1
OPMBNTFB0606,1,9889,1,1
OPMBNTFB0608,1,6874.38,1,1
OPMBNTFB0609,35,4687.3325,1,1
OPMBNTFB0610,3,7499.38,1,1
OPMBNTFB0613,1,14374.38,1,1
OPMBNTFB0619,1,6874.38,1,1
OPMBNTFB0622,1,6874.38,1,1
OPMBNTFB0625,1,4999.38,1,1
OPMBNTFB0626,1,6249.38,1,1
OPMBNTFB0630,2,6658.36,1,1
OPMBNTFB0632,1,12233.35,1,1
OPMBNTFB0635,2,7524,1,1
OPMBNTFB0636,1,19284.82,1,1
OPMBNTFB0643,5,7142.86,1,1
OPMBNTFB0646,12,4562.38867,1,1
OPMBNTFB0647,55,6925.90492,1,1
OPMBNTFB0648,52,7088.10942,1,1
OPMBNTFB0649,1,12320.89,1,1
OPMBNTFB0650,16,12946.43,1,1
OPMBNTFB0652,1,15848.21,1,1
OPMBNTFB0660,2,5892.86,1,1
OPMBNTFB0661,19,7923.93619,1,1
OPMBNTFB0662,2,7678.57,1,1
OPMBNTFB0669,1,7053.57,1,1
OPMBNTFB0670,1,8928.57,1,1
OPMBNTFB0671,2,7802.89,1,1
OPMBNTFB0675,2,7802.945,1,1
OPMBNTFB0678,1,4910.71,1,1
OPMBNTFB0681,2,3749,1,1
OPMBNTFB0688,1,2232.14,1,1
OPMBNTFB0692,1,3867,1,1
OPMBNTFB0693,1,5250,1,1
OPMBNTFB0694,1,4464.29,1,1
OPMBNTFB0698,1,1026.79,1,1
OPMBNTFB0699,1,3482.14,1,1
OPMBNTFB0704,1,40625,1,1
OPMBNTFB0714,7,41573,1,1
